source	target	mapping_kind	source_bytes	target_bytes	source_sha256	target_sha256	source_width	source_height	target_width	target_height	same_dimensions	visible_change_ratio	visible_identical_ratio	alpha_change_ratio	visual_mae	dhash_distance	confidence	reason
resource/image_web/page/chara/tree/btn_big_on.png	resource/image_web/page/chara/tree/btn_big_on.png	same_path	3094	5971	3cb51b1fab31e696a69f7b5cfc5f9fd513a8c9b260c0346a25cb56641bca5ee0	060bd99ba1f1ed904e4626e0cb00467de0ba02761b2b416bd7c48861f093584a	70	62	70	62	True	0.082488	0.917512	0.009217	0.260308	0.0	high	same path/dimensions; mostly identical rendered pixels; text-oriented path
resource/image_web/page/chara/tree/btn_cancel.png	resource/image_web/page/chara/tree/btn_cancel.png	same_path	3506	5888	56fc8c8abe92650ac25414e64883436ef8dc5b49dc851ef1cbd265a6212ad8be	a617a22d3843b488cd46d53a1f5e81214f40204959fda7d6522f43a6b18a4490	150	56	150	56	True	0.100833	0.899167	0.0	4.115866	0.132812	high	same path/dimensions; mostly identical rendered pixels; text-oriented path
resource/image_web/page/chara/tree/btn_chara_top.png	resource/image_web/page/chara/tree/btn_chara_top.png	same_path	3926	7237	4981da299a2cd50bcd5b7f571a5565b81cd223f37646263f20ad339fda9405ce	f91713d0a66fee073ea58314e6152e4ec71dea5b55f59bb95b68050f1d0de381	66	66	66	66	True	0.212351	0.787649	0.011478	0.441544	0.007812	high	same path/dimensions; mostly identical rendered pixels; text-oriented path
resource/image_web/page/chara/tree/btn_details.png	resource/image_web/page/chara/tree/btn_details.png	same_path	2359	2724	661215849424cd630e43872d612d6d96f7d93d4fd112bd9fa2a920594911c8be	e3f4d1e7ef8750762940f8c71c1a3ecb2fde955ac5cdd3c013c85ae5f53f9790	112	34	112	34	True	0.161765	0.838235	0.0	4.035621	0.09375	high	same path/dimensions; mostly identical rendered pixels; text-oriented path
resource/image_web/page/chara/tree/btn_navi.png	resource/image_web/page/chara/tree/btn_navi.png	same_path	3224	6340	29689f32806482e4de349329946e9356158ce4d5723e5fc8a1700e4db890af49	4d1e4084b2d549b348e6b5b25476c460939e46ce788d532c150a7e9f9823cece	70	62	70	62	True	0.084562	0.915438	0.006682	0.267826	0.0	high	same path/dimensions; mostly identical rendered pixels; text-oriented path
resource/image_web/page/chara/tree/btn_ok.png	resource/image_web/page/chara/tree/btn_ok.png	same_path	4166	6471	dc56cf463e777321310a2c12027385002742194d28c1612a8baceb2deaff1beb	7bfae630641a33a8c24ec57f0399a1eb8e8e7c9efbb461839e2a1fc1fa7f393c	150	56	150	56	True	0.09869	0.90131	0.001905	0.844786	0.015625	high	same path/dimensions; mostly identical rendered pixels; text-oriented path
resource/image_web/page/chara/tree/btn_open_off.png	resource/image_web/page/chara/tree/btn_open_off.png	same_path	3104	1179	6514263fc34535d96d1bd4c217f5b7da88cd730abec491bc74cf7b6a67ff3ec9	c140a28a0069a9e9e999607964dc150845ff735df6a0d20d9af7aa82dbb40ec0	100	34	100	34	True	0.192647	0.807353	0.0	3.138235	0.105469	high	same path/dimensions; mostly identical rendered pixels; text-oriented path
resource/image_web/page/chara/tree/btn_open_on.png	resource/image_web/page/chara/tree/btn_open_on.png	same_path	3363	1800	5027b436033025ef497a7ffffa61314098e02856b9a826dabb78f69ede576ddd	18b7dcd74be972156f2b55c1fb2be5e65a26196025e133bd866f3c4e08216211	100	34	100	34	True	0.192059	0.807941	0.0	4.367843	0.117188	high	same path/dimensions; mostly identical rendered pixels; text-oriented path
resource/image_web/page/chara/tree/btn_small_on.png	resource/image_web/page/chara/tree/btn_small_on.png	same_path	3039	5873	04d04997d5b65114a911ef31ac9bd12270cce1aac773f227ef08c647a775ca23	62750011f9dfa9c57205187e03ef592d980a03447bc32b4b22f9c0d80a04ab08	70	62	70	62	True	0.080876	0.919124	0.007834	0.259356	0.0	high	same path/dimensions; mostly identical rendered pixels; text-oriented path
resource/image_web/page/chara/tree/footer_emotion_bg.png	resource/image_web/page/chara/tree/footer_emotion_bg.png	same_path	1661	1563	94704c293a860ffc80665d022c0f54a8e7b0d65080a43ab78ab334923023707f	d8dff52bcb0bce5d03daf1eaf5971d2467162a30cd9b52f9706d3621f8438347	249	36	249	36	True	0.100067	0.899933	0.0	1.889856	0.082031	high	same path/dimensions; mostly identical rendered pixels; text-oriented path
