dependency	referenced_by	exists_product	exists_official_old	exists_upstream	classification
template/config/deleteUserData/popupInputPlayerID.html	js/config/DeleteUserData.js	False	True	False	missing-product-official-old-only
template/config/deleteUserData/popupReConfirm.html	js/config/DeleteUserData.js	False	True	False	missing-product-official-old-only
template/etc/EtcPopup.html	js/user/MyPage.js	False	True	True	missing-product-old+upstream-exist
template/etc/GameStartPopup.html	js/top/TopPage.js	True	True	True	already-in-product
template/etc/Help.html	js/view/etc/HelpView.js	True	True	False	already-in-product
template/etc/HelpPopup.html	js/view/etc/HelpPopupView.js	False	True	True	missing-product-old+upstream-exist
template/etc/LawPopup.html	js/view/purchase/PurchasePopup.js	True	True	True	already-in-product
template/etc/RulePopup.html	js/top/TopPage.js	False	True	True	missing-product-old+upstream-exist
template/event/EventArenaRankMatch/Result.html	js/event/EventArenaRankMatch/Result.js	True	False	True	already-in-product
template/event/EventArenaRankMatch/parts/AttackCountBtn.html	js/event/EventArenaRankMatch/parts/AttackCount.js	False	False	False	missing-all-captures-or-network-endpoint
template/event/EventArenaRankMatch/parts/AttackCountItemPopup.html	js/event/EventArenaRankMatch/parts/AttackCountItemPopup.js	True	False	False	already-in-product
template/event/EventArenaRankMatch/parts/AttackCountPopup.html	js/event/EventArenaRankMatch/parts/AttackCount.js	True	False	False	already-in-product
template/event/EventArenaRankMatch/parts/CoolTimePopup.html	js/event/EventArenaRankMatch/parts/CoolTime.js;js/event/EventArenaRankMatch/parts/DeckEditCountDown.js;js/event/EventArenaRankMatch/parts/OpponentList.js	True	True	False	already-in-product
template/event/EventArenaRankMatch/parts/DailyPresentPopup.html	js/event/EventArenaRankMatch/parts/DailyPresent.js	True	False	False	already-in-product
template/event/EventArenaRankMatch/parts/EventRewardLastRankTable.html	js/event/EventArenaRankMatch/parts/EventReward.js	True	True	False	already-in-product
template/event/EventArenaRankMatch/parts/EventRewardListItem.html	js/event/EventArenaRankMatch/parts/EventReward.js	False	True	False	missing-product-official-old-only
template/event/EventArenaRankMatch/parts/EventRewardListTable.html	js/event/EventArenaRankMatch/parts/EventReward.js	False	True	False	missing-product-official-old-only
template/event/EventArenaRankMatch/parts/EventRewardPopup.html	js/event/EventArenaRankMatch/parts/EventReward.js	True	True	False	already-in-product
template/event/EventArenaRankMatch/parts/SpRuleBtn.html	js/event/EventArenaRankMatch/parts/SpRule.js	False	True	False	missing-product-official-old-only
template/event/EventArenaRankMatch/parts/SpRuleListItem.html	js/event/EventArenaRankMatch/parts/SpRule.js	False	True	False	missing-product-official-old-only
template/event/EventArenaRankMatch/parts/SpRulePopup.html	js/event/EventArenaRankMatch/parts/SpRule.js	False	True	False	missing-product-official-old-only
template/event/EventWalpurgis/GroupRaidNativeParts.html	js/event/EventWalpurgis/parts/GroupRaid/NativeMain.js	True	True	False	already-in-product
template/event/EventWalpurgis/Stamp.html	js/event/EventWalpurgis/parts/GroupRaid/Stamp.js	True	True	False	already-in-product
template/event/EventWalpurgis/SubBossList.html	js/event/EventWalpurgis/parts/GroupRaid/SubBossPopup.js	True	True	False	already-in-product
template/event/EventWalpurgis/SubBossPopup.html	js/event/EventWalpurgis/parts/GroupRaid/SubBossPopup.js	False	True	False	missing-product-official-old-only
template/event/EventWitch/page/Top.html	js/event/EventWitch/page/Top.js	True	True	True	already-in-product
template/event/EventWitch/parts/ExchangeMemoria.html	js/event/EventWitch/parts/ExchangeMemoria.js	True	True	False	already-in-product
template/event/EventWitch/parts/MemoriaDetailPopup.html	js/event/EventWitch/parts/MemoriaDetailPopup.js	False	True	False	missing-product-official-old-only
template/event/EventWitch/parts/TopNativeMain.html	js/event/EventWitch/parts/TopNativeMain.js	False	True	False	missing-product-official-old-only
template/event/accomplish/EventAccomplishDeck.html	js/event/accomplish/EventAccomplishDeck.js	True	True	True	already-in-product
template/event/accomplish/EventAccomplishEnemyDetail.html	js/event/accomplish/EventAccomplishEnemyDetail.js	True	True	True	already-in-product
template/event/accomplish/EventAccomplishRecovery.html	js/event/accomplish/EventAccomplishRecovery.js	True	True	True	already-in-product
template/event/accomplish/EventAccomplishTop.html	js/event/accomplish/EventAccomplishTop.js	True	True	True	already-in-product
template/event/aprilfool2018/EventAprilFoolTop.html	js/event/aprilfool2018/EventAprilFoolTop.js	True	True	False	already-in-product
template/event/arenaMission/EventArenaMissionConfirm.html	js/event/arenaMission/view/ArenaConfirmView.js	True	True	False	already-in-product
template/event/arenaMission/EventArenaMissionResult.html	js/event/arenaMission/EventArenaMissionResult.js	True	True	False	already-in-product
template/event/arenaMission/EventArenaMissionStage.html	js/event/arenaMission/EventArenaMissionStage.js	True	True	True	already-in-product
template/event/arenaMission/EventArenaMissionTop.html	js/event/arenaMission/EventArenaMissionTop.js	True	True	True	already-in-product
template/event/branch/EventBranchTop.html	js/event/branch/EventBranchTop.js	True	True	True	already-in-product
template/event/dailytower/EventDailyTowerTop.html	js/event/dailytower/EventDailyTowerTop.js	True	True	True	already-in-product
template/event/dungeon/EventDungeonCurePopupParts.html	js/event/dungeon/view/EventDungeonCpCureView.js	True	True	False	already-in-product
template/event/dungeon/EventDungeonMap.html	js/event/dungeon/EventDungeonMap.js	True	True	True	already-in-product
template/event/dungeon/EventDungeonTop.html	js/event/dungeon/EventDungeonTop.js	True	True	True	already-in-product
template/event/raid/EventRaidCloseTop.html	js/event/raid/EventRaidCloseTop.js	True	True	True	already-in-product
template/event/raid/EventRaidCurePopupParts.html	js/event/raid/view/EventRaidRpCureView.js	True	True	False	already-in-product
template/event/raid/EventRaidTop.html	js/event/raid/EventRaidTop.js	True	True	True	already-in-product
template/event/singleraid/EventSingleRaidSelect.html	js/event/singleraid/EventSingleRaidTop.js	True	True	True	already-in-product
template/event/singleraid/EventSingleRaidTop.html	js/event/singleraid/EventSingleRaidTop.js	True	True	True	already-in-product
template/event/storyraid/EventStoryRaidBoss.html	js/event/storyraid/EventStoryRaidTop.js	True	True	True	already-in-product
template/event/storyraid/EventStoryRaidSelect.html	js/event/storyraid/EventStoryRaidTop.js	True	True	True	already-in-product
template/event/storyraid/EventStoryRaidTop.html	js/event/storyraid/EventStoryRaidTop.js	True	True	True	already-in-product
template/event/tower/EventTowerTop.html	js/event/tower/EventTowerTop.js	True	True	True	already-in-product
template/event/training/EventTrainingCharaSelect.html	js/event/training/EventTrainingCharaSelect.js	True	True	True	already-in-product
template/event/training/EventTrainingTop.html	js/event/training/EventTrainingTop.js	True	True	True	already-in-product
template/follow/FollowPopup.html	js/follow/FollowPopup.js	False	True	False	missing-product-official-old-only
template/follow/FollowTop.html	js/view/follow/FollowTopView.js	False	True	False	missing-product-official-old-only
template/formation/DeckFormation.html	js/formation/DeckFormation.js	True	True	True	already-in-product
template/formation/FormationQuest.html	js/formation/FormationQuest.js	True	True	True	already-in-product
template/formation/FormationSupport.html	js/formation/FormationSupport.js	True	True	True	already-in-product
template/formation/FormationTop.html	js/formation/FormationTop.js	True	True	True	already-in-product
template/gacha/GachaProbabilityPop.html	js/gacha/GachaProbability.js	True	True	False	already-in-product
template/gacha/GachaResult.html	js/gacha/GachaResult.js	True	True	True	already-in-product
template/gacha/GachaSaleSettingPopup.html	js/gacha/GachaSaleSettingPopupView.js	True	True	False	already-in-product
template/gacha/GachaTop.html	js/view/gacha/GachaTopView2.js	True	True	False	already-in-product
template/item/ItemListTop.html	js/view/item/ItemListView.js	False	True	False	missing-product-official-old-only
template/item/ItemSalePopup.html	js/view/item/ItemSalePopupView.js	False	True	False	missing-product-official-old-only
template/loginBonus/loginBonusCampaignPopupTemp.html	js/user/MyPage.js	True	True	True	already-in-product
template/loginBonus/loginBonusPopupTemp.html	js/user/MyPage.js	True	True	True	already-in-product
template/memoria/MemoriaComposeTop.html	js/view/memoria/MemoriaComposeTopView.js	True	True	False	already-in-product
template/memoria/MemoriaEquip.html	js/memoria/MemoriaEquip.js	True	True	True	already-in-product
template/memoria/MemoriaEquipInfo.html	js/memoria/MemoriaEquip.js;js/view/memoria/MemoriaEquipInfoView.js	True	True	True	already-in-product
template/memoria/MemoriaPopup.html	js/memoria/MemoriaPopup.js	False	True	False	missing-product-official-old-only
template/memoria/MemoriaSetEquip.html	js/memoria/MemoriaSetEquip.js	True	True	True	already-in-product
template/memoria/MemoriaSetList.html	js/memoria/MemoriaSetList.js	True	True	True	already-in-product
template/memoria/PieceArchive.html	js/view/memoria/PieceArchiveView.js	True	True	False	already-in-product
template/memoria/UserMemoriaList.html	js/view/memoria/UserMemoriaListView.js	True	True	False	already-in-product
template/mission/DoppelMissionTop.html	js/mission/DoppelMissionTop.js	False	True	True	missing-product-old+upstream-exist
template/mission/MissionTop.html	js/view/mission/MissionTopView.js	False	True	False	missing-product-official-old-only
template/mission/PanelMissionTop.html	js/mission/PanelMissionTop.js	True	True	True	already-in-product
template/patrol/PatrolDeckView.html	js/patrol/view/PatrolDeckView.js	True	True	False	already-in-product
template/patrol/PatrolLumpFormation.html	js/patrol/PatrolLumpFormation.js	True	True	True	already-in-product
template/patrol/PatrolTop.html	js/patrol/PatrolTop.js	True	True	True	already-in-product
template/present/PresentList.html	js/view/present/PresentListPageView.js;js/view/test/PresentListPageView.js	False	True	False	missing-product-official-old-only
template/purchase/PurchasePop.html	js/view/purchase/PurchasePopup.js	True	True	True	already-in-product
template/purchase/PurchaseTemps.html	js/view/purchase/PurchasePopup.js	True	True	True	already-in-product
template/quest/CharaQuest.html	js/quest/CharaQuest.js	False	True	True	missing-product-old+upstream-exist
template/quest/EventQuest.html	js/quest/EventQuest.js	True	True	True	already-in-product
template/quest/MainQuest.html	js/view/quest/MainQuestView.js	False	True	False	missing-product-official-old-only
template/quest/OutlinePopup.html	js/collection/StoryCollection.js;js/view/quest/MainQuestView.js;js/view/quest/SubQuestView.js	False	True	True	missing-product-old+upstream-exist
template/quest/PreQuestPopup.html	js/view/quest/PreQuestPopupView.js	True	True	False	already-in-product
